InvetmentName,VaR_95(%),StdDev,Risk_of_Loss (%),Beta,Sharpe
TGTG.DE,-4.43,0.0279669,31.84,0.0002756,0.0123834
UUUG.DE,-3.32,0.0195286,35.29,0.0000846,0.0448915
VSCk.DE,-21.02,0.1278057,49.41,0.0019288,0.0246071
HRPKk.F,-8.3,0.0502131,27.1,0.0001229,0.0300308
LUMG.F,-0.93,0.0058589,6.11,0.000031,0.0280927
AAQG.DE,-6.9,0.0430118,46.12,0.0001087,0.0255713
ARLG.DE,-99.64,0.6038727,48.85,0.0292595,0.0252986
E7SG.DE,-26.62,0.1530399,38.87,0.0010679,0.0536164
ADNGk.DE,-142.84,0.8211664,47.1,0.0138426,0.0349871
ADSGn.DE,-333.61,1.9124369,43.89,0.0767074,0.05335
ADDG.DE,-28.03,0.1833223,58.02,0.00473,0.0257516
ADLG.DE,-40.23,0.2479824,53.44,0.0085581,0.0275201
ADAG.DE,-42.47,0.2670649,55.34,0.0115537,0.0258501
AGXG.F,-1.57,0.0095434,8.4,-0.0000155,0.0283567
AAHG_p.F,-19.95,0.1235828,20.23,0.0006699,0.0337549
AAHG.F,-28.11,0.1728094,13.41,0.0004034,0.0344823
AIXGn.DE,-36.29,0.2283292,54.2,0.0035673,0.0271169
ABAG.F,-108.89,0.6536084,12.16,0.0015901,0.0498828
MTVG.DE,-16.52,0.0948195,35.4,0.0003769,-0.0184302
A1OS.DE,-261.09,1.6361218,44.79,0.0409557,0.0229649
AEIG.DE,-42.66,0.2595844,50,0.0084865,0.0277205
SWOG.F,-5.23,0.0320081,3.82,-0.0002083,0.0284643
ALVG.DE,-396.36,2.4378695,51.91,0.1346894,0.0159795
ANOG.DE,-2.81,0.0173706,44.02,0.0002265,0.0410926
ATFG.DE,-1.28,0.0079683,25.19,0.0000472,0.1173147
AOXG.DE,-23.83,0.1472187,53.82,0.0055725,0.0268835
AMDG.DE,-203.38,1.2390467,50.38,0.0526715,0.0144939
TXAG.F,-0.36,0.0022625,2.67,0.0000071,0.0280461
AROG.DE,-0.33,0.0020622,19.18,0.0000085,0.0306333
AYDGn.DE,-16.33,0.0971612,26.97,-0.0004687,0.0064957
5ABG.F,-3.32,0.0211471,13.14,0.0002989,0.0763441
AOFG.DE,-253.51,1.5594764,50.58,0.0507958,0.0218578
NSUG.DE,-1223.71,7.5304479,49.43,0.2493396,-0.094227
NAFG.DE,-189.94,1.173289,50.38,0.0407144,0.0273496
AVES.DE,-109.62,0.7201446,50,-0.1001413,0.2495735
SPRGn.DE,-102.67,0.6538644,54.2,0.031206,0.0235704
BTTG.F,-0.3,0.0018489,0.76,-0.0000159,0.0280079
BASFn.DE,-173.17,1.0447853,48.85,0.0663042,0.0319772
BSLG.DE,-176.43,1.0206271,48.46,0.0140271,0.0329936
BST1.DE,-20.77,0.1315255,51.56,0.0019887,0.0232752
B5AG.DE,-47.2,0.3076324,67.18,0.0081253,0.0161779
BAYGn.DE,-263.82,1.6951695,49.62,0.0918577,0.0181627
BYWGnx.DE,-75.19,0.4560747,51.91,0.0127238,0.0244586
BYWG.DE,-106.05,0.6504883,41.67,0.003244,0.0642237
BKTG_p.F,-3.47,0.0213765,1.91,-0.0001805,0.028199
USEG.DE,-2.12,0.0129592,40.71,0.0001342,0.0269365
BC8G.DE,-210.15,1.2798965,56.49,0.0567576,0.0159906
BEIG.DE,-177.82,1.1092085,51.53,0.0511819,0.0238481
BEZ.DE,-24.05,0.1456612,49.21,0.0016138,0.0349122
MBHG_p.F,-583.58,3.3830255,28.24,0.0817667,0.1847876
BDTG.DE,-289.49,1.7787638,59.16,0.0741222,0.003182
ARTG.DE,-245.2,1.4073231,50.38,0.0421912,0.030752
BHSG.F,-59.24,0.3546239,6.49,0.0017619,0.0402344
BIJG.DE,-118.86,0.7353483,47.71,0.0152291,0.0263707
GBFG.DE,-127.46,0.792806,47.33,0.0299732,0.0265701
B8FGn.DE,-14.45,0.0846707,50,0.0014591,0.0275302
BIOG.DE,-62.07,0.3746099,44.06,0.009601,0.0309739
BIOG_p.DE,-53.96,0.3297048,55.34,0.0106298,0.0232224
BTBA.DE,-4.78,0.0290967,35.74,0.0002985,0.0329729
BMWG_p.DE,-203.45,1.2529405,58.4,0.0679965,0.0095319
BMWG.DE,-249.04,1.55357,51.15,0.0926937,0.0167855
BSYG.F,-0.53,0.0029924,6.25,-0.0000014,0.0245859
BNNn.DE,-72.5,0.4210728,44.33,0.0050039,-0.0997967
BNRGn.DE,-128.96,0.7889202,50,0.0356798,0.0272217
DTDGk.DE,-15.87,0.0924295,22.35,0.0007183,0.0736693
BVB.DE,-12.14,0.0720113,45.04,0.0018116,0.0280809
COKG.DE,-139.81,0.8433504,54.96,0.0321793,0.0263398
HWAG.DE,-23.79,0.1509894,52.67,0.0044032,0.0254205
CSHG.DE,-66.03,0.4045764,58.4,0.0162628,0.0227648
CEVG.DE,-31.48,0.1876332,46.18,0.0043277,0.0292554
CWCG.DE,-219.96,1.276383,47.71,0.0435312,0.0379557
CSGG.F,-6.88,0.0425708,9.16,0.00001,0.0290376
CU1G.DE,-28.38,0.1683354,44.66,0.0022018,0.0289019
CAGGk.DE,-66.75,0.4192134,56.54,0.0047721,0.0324448
CNWKk.DE,-16.07,0.0963418,52.94,0.0003974,0.0248934
CDBG.DE,-23.66,0.1465375,51.91,0.0036784,0.0272251
CBKG.DE,-30.77,0.1960002,55.73,0.0086313,0.025899
COPMa.DE,-118.85,0.707622,50.76,0.0282359,0.0281208
EV4G.DE,-7.68,0.04659,40.84,0.0008162,0.0281705
CONG.DE,-540.6,3.3974474,49.62,0.1985723,0.0112478
1COV.DE,-139.45,0.782735,48.09,0.0333322,0.0320496
ACWNn.DE,-106.76,0.6264157,26.18,-0.0005732,0.0148908
AFXG.DE,-95.58,0.5708612,50,0.0201641,0.0266593
CE2G.DE,-19.58,0.1209606,46.18,0.0034668,0.0273588
CURG.DE,-5.4,0.0334916,40.91,0.0003181,0.0607241
DAIGn.DE,-191.51,1.2011973,53.82,0.0705009,0.0201312
DAMG.DE,-91.17,0.5041921,33.89,-0.0020405,0.0459075
FAM1.F,-4.72,0.0286474,11.07,-0.0001206,0.0289719
ERMGk.DE,-15.94,0.0988231,48.26,0.0020748,0.0345503
333.DE,-29.84,0.1820375,31.82,0.0037564,-0.021953
DEXGn.DE,-73.87,0.4626174,49.24,0.0000658,0.0269002
DMRE.DE,-12.43,0.0767444,51.75,0.0010154,0.0262764
DBKGn.DE,-74.36,0.4731708,55.34,0.0244734,0.0245596
DBANn.DE,-80.12,0.4782711,50.38,0.0179757,0.0234345
DB11.DE,-203.8,1.2320771,55,0.0754743,-0.0958802
DEQGn.DE,-76.21,0.4748584,52.29,0.0178898,0.0241021
PBBG.DE,-33.3,0.2038574,56.49,0.0081181,0.025801
DPWGn.DE,-64.43,0.3868961,43.89,0.0210573,0.0287887
DTEGn.DE,-37.57,0.2345718,56.11,0.0131659,0.0266956
DWNG.DE,-71.77,0.4300696,48.09,0.0155601,0.0261542
DREGa.F,-18.76,0.1143704,7.63,0.0005662,0.0303079
DEZG.DE,-17.47,0.1017351,46.18,0.0040759,0.0285272
DFTKn.DE,-52.66,0.3368074,27.75,0.0022149,0.0233524
DICn.DE,-20.71,0.1271251,50,0.0053091,0.0268924
WING.DE,-147.04,0.8483954,49.62,0.0115514,0.0335191
DIEG.F,-33.77,0.2037992,2.69,-0.0003475,0.032703
GILG.DE,-68.13,0.4050084,43.89,0.0132387,0.034182
HNLG.DE,-76.47,0.4625485,47.89,0.013133,0.0365523
DRWG_p.DE,-221.01,1.3358993,50.76,0.0441219,0.0243931
DRWG.DE,-164.31,1.0015916,52.11,0.0271125,0.0235006
DRIG.DE,-126.43,0.7862715,53.44,0.0275542,0.0237196
DKAG.F,-131.33,0.7746339,15.27,0.0053895,0.0561615
DUEG.DE,-247.11,1.5131488,52.29,0.0841087,0.0181456
DVBG.F,-39.98,0.2502909,10.34,0.0002197,0.0270388
EONGn.DE,-30.1,0.1872251,53.82,0.0087758,0.0268377
ESYG.DE,-22.29,0.1265821,18.38,0.0009741,-0.0013408
EUZG.DE,-46.53,0.2748605,50,0.0060922,0.0274751
E4CG.DE,-32.6,0.193272,42.04,0.0020372,0.0192453
EING_p.DE,-94.26,0.542521,41.77,0.0046178,0.0339036
EISG.F,-59.1,0.3595743,9.54,0.0012653,0.0414433
ELNk.F,-23.65,0.1385077,24.14,0.0001137,0.0348782
ELGG.DE,-43.63,0.2642852,44.66,0.009956,0.0289119
ZILGn.DE,-73.16,0.4643214,61.83,0.0217509,0.0211108
ELBG.DE,-63.13,0.3954032,43.58,0.0004858,0.0877005
EMQG.DE,-2.56,0.0155134,19.67,0.0000209,0.0012111
EBKG.DE,-65.76,0.4098522,41.04,0.0039125,0.0117114
EKTG.F,-42.34,0.2488011,21.07,0.0016283,0.0427444
EXJ.F,-3.19,0.0194721,0.76,-0.0000638,0.0282223
ECXn.F,-35.94,0.2119479,45.95,0.0033104,0.0299205
EUCAn.DE,-29.7,0.1870799,51.72,0.0021357,0.0289099
EVDG.DE,-84.8,0.5361393,54.2,0.0236917,0.0228382
EVKn.DE,-80.85,0.508668,55.73,0.0255635,0.0239755
EVTG.DE,-14.04,0.080777,51.15,0.0035726,0.0279715
BTCGk.F,-28.05,0.1609129,44.66,0.0023601,0.0309614
FVIG.DE,-22.32,0.1345859,41.58,-0.0009507,0.0451608
HBD1.F,-14.96,0.0890181,6.11,-0.0002917,0.029649
FIEG.DE,-138.98,0.8602475,50.76,0.026662,0.0211721
SISG.DE,-41.48,0.2470724,47.1,0.0062519,0.0298588
FRSG.DE,-15.48,0.100605,24.81,0.0007424,0.0081115
FEVG.DE,-31.36,0.1807334,33.33,0.0016298,0.0312504
FPHG.DE,-10.63,0.0636722,30.27,0.0011729,0.0318801
FRAG.DE,-127.72,0.7847153,47.33,0.0290194,0.02863
FNTGn.DE,-63.65,0.4053742,56.49,0.0180019,0.0223957
FREG.DE,-179.51,1.0941524,51.91,0.0616523,0.0269814
FMEG.DE,-199.79,1.2288343,50,0.0629413,0.0228868
FNGG.F,-30.56,0.1869498,32.06,0.0016143,0.0305814
CEAG.DE,-73.66,0.4189177,15.62,0.0042757,-0.0270611
FROG_p.F,-1.9,0.0115445,0.38,0.0000308,0.0280972
FROG.F,-2.44,0.0150106,0.77,0.0000077,0.0296144
FPEG_p.DE,-92.64,0.5811074,53.44,0.0345308,0.0204745
FPEG.DE,-83.95,0.5187385,60.69,0.0280508,0.0157441
G1AG.DE,-148.3,0.9097655,53.05,0.0292974,0.0286674
WWGG.F,-3126.49,18.6662223,6.51,0.1247575,0.4916559
GMEG.DE,-35.97,0.2147419,43.15,0.0006732,0.0206275
GXIG.DE,-176,1.0864613,51.15,0.0503432,0.0260726
GWIG.DE,-53.55,0.336911,60.31,0.0122284,0.0249465
GSC1n.DE,-117.18,0.7225196,48.85,0.0109201,0.028055
GFKG.DE,-118.79,0.7342444,54.96,0.0141955,0.0269398
GFTG.DE,-101.08,0.6385768,58.02,0.0276505,0.0220456
GGS.DE,-5.64,0.0342593,40.71,0.0005315,0.0437794
GKSG.DE,-176.52,1.0049729,31.45,0.0023312,0.04109
GMMG.DE,-165.57,0.9625254,42.75,0.039131,0.036056
GLJn.DE,-480.05,2.9980275,54.2,0.1001555,-0.0056928
GIBG.F,-457.34,2.7329949,4.21,-0.0049165,0.1303119
G7BG.F,-0.49,0.0030026,1.91,0.0000026,0.0280603
2HR.DE,-50.31,0.2926696,47.71,0.0093461,0.0309792
HABG.DE,-18.26,0.1144364,58.4,0.0046756,0.0249064
HNRGn.DE,-249.36,1.5392261,48.85,0.0841785,0.0228955
H9YG.F,-21.07,0.1242993,7.63,0.0007802,0.0314724
HLAG.DE,-70.43,0.4331026,55.73,0.0077312,0.0250948
HAWG.DE,-95.94,0.5712681,35.86,0.0026506,0.0263644
IPOG.F,-22.02,0.132174,1.27,0.0015822,0.0483387
HEIG.DE,-220.81,1.3202067,49.24,0.082675,0.0341565
HDDG.DE,-8.24,0.049962,55.34,0.0022267,0.0274991
H2Fn.DE,-15.95,0.1071048,45.31,0.0009976,0.0217443
HLE.DE,-119.06,0.7333667,55.34,0.0399585,0.0229554
HNKG.DE,-197.83,1.1972936,52.29,0.0541235,0.0211576
HNKG_p.DE,-230.24,1.3980221,50.76,0.0752531,0.0252275
RTMLk.F,-208.95,1.3287131,3.46,-0.0012316,0.0315931
HHFGn.DE,-41,0.2429439,47.33,0.0084991,0.0274776
HOTG.DE,-320.38,1.8346068,43.51,0.078007,0.0598931
HOC.DE,-10.33,0.0650975,40.47,0.0014278,0.0266771
HBMG.DE,-66.1,0.4146622,60.31,0.0069459,0.0222407
HBH.DE,-194.74,1.2036445,50.76,0.028293,0.0221457
BOSSn.DE,-253.84,1.6236311,55.34,0.0548476,0.0085345
HYQGn.DE,-389.49,2.3863617,52.67,0.0811839,0.024049
IFAG.F,-27.94,0.1631306,12.98,0.0013378,0.0353084
FAOGn.DE,-80.45,0.478953,37.79,0.0036151,0.0557385
INHG.DE,-112.62,0.6671674,48.85,0.0310513,0.0283045
IFS1.F,-5.52,0.0335326,4.23,0.0000041,0.0313893
IFXGn.DE,-46.77,0.2759855,43.51,0.0133661,0.0300602
IXXG.DE,-55.81,0.3483592,61.83,0.0055935,0.0207124
IGY.DE,-86.96,0.599152,60,0.0268687,0.0399072
ISHG.DE,-6.51,0.0402,45.04,0.0003327,0.0280994
ITMG.DE,-8.1,0.053007,28.92,-0.0006114,0.0340556
IS7G.DE,-18.92,0.1148397,21.05,-0.0006844,0.0042787
IVXG.DE,-152.86,0.9503814,32.16,0.0176229,0.0250971
ISRG.DE,-308.77,1.7841046,51.91,0.0516875,0.0236087
I7NG.DE,-10.28,0.064202,36.63,0.0009836,0.0803165
IVUG.DE,-13.36,0.0850534,49.62,0.0018138,0.0329646
JENG.DE,-42.84,0.2570066,50.76,0.0127646,0.0281912
